clip_id,frame_idx,ts_offset,label,flow_magnitude,strip_diff_v1,strip_diff_v3
d002,600,10.000000,real_delivery,1.488617,6.710685,10.957313
d002,612,10.200000,real_delivery,1.953059,7.029536,9.815500
d002,624,10.400000,real_delivery,1.833924,6.683972,9.662812
d002,636,10.600000,real_delivery,2.558786,4.265121,10.127250
d002,648,10.800000,real_delivery,2.482670,2.509476,9.374250
d002,660,11.000000,real_delivery,2.088226,2.800605,6.451437
d002,672,11.200000,real_delivery,2.121402,1.937651,4.388813
d002,684,11.400000,real_delivery,2.472821,2.534778,4.940250
d002,696,11.600000,post_event,2.245261,2.696371,5.591938
d002,708,11.800000,post_event,1.647152,3.243599,6.302437
d002,720,12.000000,post_event,1.787112,2.005645,3.883437
d002,732,12.200000,post_event,1.452702,1.388054,3.660563
d002,744,12.400000,post_event,0.938629,1.557409,5.861250
d002,756,12.600000,post_event,1.008010,0.804486,4.735062
d002,768,12.800000,post_event,1.035994,0.646825,1.683375
d002,780,13.000000,post_event,1.469005,1.172026,2.066187
d002,792,13.200000,post_event,1.427405,0.530292,2.747250
d002,804,13.400000,post_event,1.438295,0.557157,1.370437
d002,816,13.600000,post_event,1.117891,0.877722,1.990687
d002,828,13.800000,post_event,1.017240,0.950806,2.503625
d002,840,14.000000,post_event,0.933691,0.522984,1.544437
d002,852,14.200000,noise,0.746540,0.334425,1.360375
d002,864,14.400000,noise,0.617025,0.475252,1.316437
d002,876,14.600000,noise,0.762299,1.882611,1.796250
d002,888,14.800000,noise,0.700818,5.113357,4.476750
d002,900,15.000000,noise,0.709271,5.991230,5.958500
d002,912,15.200000,noise,1.091912,5.481351,12.447688
d002,924,15.400000,noise,1.103969,2.522581,12.960187
d002,936,15.600000,noise,0.992132,3.256956,11.063187
d002,948,15.800000,noise,0.996485,5.743397,8.331250
d002,960,16.000000,noise,1.881182,6.884728,13.545813
d002,972,16.200000,noise,1.117385,5.715373,13.180063
d002,984,16.400000,noise,1.264235,5.583518,15.040625
d002,996,16.600000,noise,1.970349,5.532813,17.212937
d002,1008,16.800000,noise,1.186473,3.399143,10.908312
d002,1020,17.000000,noise,1.121112,3.421371,9.112687
d002,1032,17.200000,noise,1.044743,3.021925,8.200313
d002,1044,17.400000,noise,2.494601,4.884627,12.500375
d002,1056,17.600000,noise,1.044857,1.675454,6.555937
d002,1068,17.800000,noise,1.062191,0.906149,6.550438
d002,1080,18.000000,noise,1.898309,0.840625,7.891250
d002,1092,18.200000,noise,1.059150,0.678125,4.004062
d002,1104,18.400000,noise,1.184324,1.949446,2.769687
d002,1116,18.600000,noise,2.831855,3.651764,6.015250
d002,1128,18.800000,noise,2.071098,1.904637,9.547125
d002,1140,19.000000,noise,2.301755,0.588861,11.063750
d002,1152,19.200000,noise,2.378789,0.480393,9.441562
d002,1164,19.400000,noise,2.037901,0.535534,4.846063
d002,1176,19.600000,noise,1.738054,0.957308,1.862062
d002,1188,19.800000,noise,1.258253,0.816935,1.715500
d003,12,0.200000,noise,0.247121,0.081552,0.243812
d003,24,0.400000,noise,0.260206,0.039869,0.337562
d003,36,0.600000,noise,0.394248,0.028125,0.535937
d003,48,0.800000,noise,0.401359,0.037198,0.502875
d003,60,1.000000,noise,0.304203,0.011492,0.226687
d003,72,1.200000,noise,1.150715,0.025050,1.023375
d003,84,1.400000,noise,1.078429,0.087450,0.860875
d003,96,1.600000,noise,0.356980,0.008871,0.321375
