clip_id,label,ts_s,flow_magnitude,strip_diff_v1,strip_diff_v3
20260420_202239__d001,ad,8.380246,1.758816,0.613515,17.107319
20260420_202239__d001,ad,8.444217,1.752140,0.623066,16.570971
20260420_202239__d001,ad,8.508188,0.022331,0.008865,0.176911
20260420_202239__d001,ad,8.572160,1.838496,0.717924,15.372981
20260420_202239__d001,ad,8.636131,1.897374,0.609405,14.915682
20260420_202239__d001,ad,8.700102,1.962754,0.535219,15.401251
20260420_202239__d001,ad,8.764074,2.089412,0.598727,15.110471
20260420_202239__d001,ad,8.828045,0.027205,0.010276,0.282752
20260420_202239__d001,ad,8.892016,1.943316,0.580271,16.351113
20260420_202239__d001,ad,8.955988,2.105981,0.700032,17.241824
20260420_202239__d001,ad,9.019959,2.027328,0.592037,17.144011
20260420_202239__d001,ad,9.083930,0.004577,0.003103,0.078260
20260420_202239__d001,ad,9.147902,2.120981,0.655303,17.078753
20260420_202239__d001,ad,9.211873,2.128649,0.566973,16.002118
20260420_202239__d001,ad,9.275844,0.021156,0.009832,0.159033
20260420_202239__d001,ad,9.339816,2.270107,0.573219,17.158540
20260420_202239__d001,ad,9.403787,1.957977,0.533567,18.114608
20260420_202239__d001,ad,9.467758,2.082930,0.523775,17.709860
20260420_202239__d001,ad,9.531730,1.978593,0.509067,18.411988
20260420_202239__d001,ad,9.595701,13.028049,1.253425,54.275217
20260420_202239__d001,ad,9.659672,0.042568,0.000000,0.460697
20260420_202239__d001,ad,9.723644,0.004970,0.000000,0.071612
20260420_202239__d001,ad,9.787615,0.004121,0.000081,0.054620
20260420_202239__d001,ad,9.851586,0.004180,0.000604,0.090721
20260420_202239__d001,ad,9.915558,0.002264,0.000000,0.012805
20260420_202239__d001,ad,9.979529,0.001473,0.000000,0.028024
20260420_202239__d001,ad,10.043501,0.001088,0.000000,0.015465
20260420_202239__d001,ad,10.107472,0.001850,0.000000,0.007535
20260420_202239__d001,ad,10.171443,0.000773,0.000000,0.001921
20260420_202239__d001,ad,10.235415,0.000193,0.000000,0.000690
20260420_202239__d001,ad,10.299386,0.000226,0.000000,0.000739
20260420_202239__d001,ad,10.363357,0.000498,0.000000,0.001379
20260420_202239__d001,ad,10.427329,0.000650,0.000000,0.003201
20260420_202239__d001,ad,10.491300,0.000491,0.000000,0.001773
20260420_202239__d001,ad,10.555271,0.000700,0.000000,0.003103
20260420_202239__d001,ad,10.619243,0.025333,0.000000,0.387116
20260420_202239__d001,ad,10.683214,16.805923,7.367747,214.699911
20260420_202239__d001,ad,10.747185,0.010214,0.000000,0.002266
20260420_202239__d001,ad,10.811157,0.008108,0.000000,0.000837
20260420_202239__d001,ad,10.875128,0.009789,0.000000,0.000591
20260420_202239__d001,ad,10.939099,0.008803,0.000000,0.000690
20260420_202239__d001,ad,11.003071,0.007879,0.000000,0.000394
20260420_202239__d001,ad,11.067042,0.008947,0.000000,0.000099
20260420_202239__d001,ad,11.131013,0.007017,0.000000,0.000099
20260420_202239__d001,ad,11.194985,0.009059,0.000000,0.000394
20260420_202239__d001,ad,11.258956,0.007873,0.000000,0.000394
20260420_202239__d001,ad,11.322927,0.008937,0.000000,0.000099
20260420_202239__d001,ad,11.386899,0.007063,0.000000,0.000099
20260420_202239__d001,ad,11.450870,0.009091,0.000000,0.000394
20260420_202239__d001,ad,11.514841,0.007854,0.000000,0.000394
20260420_202239__d001,ad,11.578813,0.008938,0.000000,0.000099
20260420_202239__d001,ad,11.642784,0.006881,0.000000,0.000099
20260420_202239__d001,ad,11.706755,0.009028,0.000000,0.000394
20260420_202239__d001,ad,11.770727,0.007870,0.000000,0.000394
20260420_202239__d001,ad,11.834698,0.008926,0.000000,0.000099
20260420_202239__d001,ad,11.898669,0.007088,0.000000,0.000099
20260420_202239__d001,ad,11.962641,0.009060,0.000000,0.000394
20260420_202239__d001,ad,12.026612,0.008863,0.000000,0.000394
20260420_202239__d001,ad,12.090583,0.008938,0.000000,0.000099
20260420_202239__d001,ad,12.154555,0.007204,0.000000,0.000099
20260420_202239__d001,ad,12.218526,0.009029,0.000000,0.000394
20260420_202239__d001,ad,12.282497,11.392762,6.867787,181.229955
20260420_202239__d001,ad,12.346469,0.056964,0.024944,0.507141
20260420_202239__d001,ad,12.410440,0.022262,0.012653,0.104708
20260420_202239__d001,ad,12.474411,0.040735,0.026032,0.302502
20260420_202239__d001,ad,12.538383,0.023849,0.014346,0.222764
20260420_202239__d001,ad,12.602354,0.037723,0.015716,0.287628
20260420_202239__d001,ad,12.666325,0.031265,0.010477,0.249507
20260420_202239__d001,ad,12.730297,0.059549,0.018375,0.516893
20260420_202239__d001,ad,12.794268,0.019144,0.013459,0.165682
20260420_202239__d001,ad,12.858240,0.046264,0.022526,0.363229
20260420_202239__d001,ad,12.922211,0.039249,0.012089,0.268420
20260420_202239__d001,ad,12.986182,0.050555,0.020148,0.334269
20260420_202239__d001,ad,13.050154,0.026303,0.017005,0.204541
20260420_202239__d001,ad,13.114125,0.057273,0.020592,0.341164
20260420_202239__d001,ad,13.178096,0.038223,0.005642,0.166667
20260420_202239__d001,ad,13.242068,0.073933,0.014749,0.295459
20260420_202239__d001,ad,13.306039,0.037724,0.006327,0.215770
20260420_202239__d001,ad,13.370010,0.085342,0.006730,0.264283
20260420_202239__d001,ad,13.433982,0.059619,0.008986,0.259604
20260420_202239__d001,ad,13.497953,0.096215,0.010074,0.290041
20260420_202239__d001,ad,13.561924,0.050634,0.008503,0.170804
20260420_202239__d001,ad,13.625896,0.135015,0.017932,0.374458
20260420_202239__d001,ad,13.689867,0.060075,0.008100,0.164992
20260420_202239__d001,ad,13.753838,0.122991,0.009147,0.332398
20260420_202239__d001,ad,13.817810,0.130404,0.005601,0.313337
20260420_202239__d001,ad,13.881781,0.061825,0.005319,0.215278
20260420_202239__d001,ad,13.945752,0.137540,0.008422,0.232516
20260420_202239__d001,ad,14.009724,0.039836,0.004916,0.127167
20260420_202239__d001,ad,14.073695,0.149035,0.011444,0.293144
20260420_202239__d001,ad,14.137666,0.237534,0.014305,0.439963
20260420_202239__d001,ad,14.201638,0.188437,0.008059,0.396671
20260420_202239__d001,ad,14.265609,0.095432,0.003586,0.201290
20260420_202239__d001,ad,14.329580,0.049573,0.005964,0.123966
20260420_202239__d001,ad,14.393552,0.111960,0.007132,0.221828
20260420_202239__d001,ad,14.457523,0.031745,0.003748,0.113426
20260420_202239__d001,ad,14.521494,0.093009,0.002982,0.181984
20260420_202239__d001,ad,14.585466,0.086613,0.002660,0.250936
20260420_202239__d001,ad,14.649437,0.062795,0.001612,0.181393
20260420_202239__d001,ad,14.713408,0.031357,0.001048,0.091214
20260420_202239__d001,ad,14.777380,0.052369,0.002579,0.127463
20260420_202239__d001,ad,14.841351,0.067762,0.005440,0.131846
20260420_202239__d001,ad,14.905322,0.027689,0.000927,0.068065
20260420_202239__d001,ad,14.969294,0.024404,0.001330,0.086190
20260420_202239__d001,ad,15.033265,0.028143,0.001652,0.064125
20260420_202239__d001,ad,15.097236,0.026509,0.000645,0.036298
20260420_202239__d001,ad,15.161208,0.033909,0.003183,0.061466
20260420_202239__d002,real_delivery,0.062854,0.045782,0.010034,0.219267
20260420_202239__d002,real_delivery,0.125707,0.039696,0.008382,0.158589
20260420_202239__d002,real_delivery,0.188561,0.029873,0.002539,0.101803
20260420_202239__d002,real_delivery,0.251414,0.038010,0.002942,0.155093
20260420_202239__d002,real_delivery,0.314268,0.036793,0.002942,0.127069
20260420_202239__d002,real_delivery,0.377121,0.051692,0.003143,0.122784
20260420_202239__d002,real_delivery,0.439975,0.026780,0.001088,0.055506
20260420_202239__d002,real_delivery,0.502828,0.025866,0.001007,0.068410
20260420_202239__d002,real_delivery,0.565682,0.059832,0.002136,0.167750
20260420_202239__d002,real_delivery,0.628536,0.048203,0.001209,0.104117
20260420_202239__d002,real_delivery,0.691389,0.067292,0.004433,0.179029
20260420_202239__d002,real_delivery,0.754243,0.090394,0.013378,0.203556
20260420_202239__d002,real_delivery,0.817096,0.035102,0.007898,0.117760
20260420_202239__d002,real_delivery,0.879950,0.072547,0.015393,0.240593
20260420_202239__d002,real_delivery,0.942803,0.042720,0.003466,0.072695
20260420_202239__d002,real_delivery,1.005657,0.079021,0.004151,0.153763
20260420_202239__d002,real_delivery,1.068510,0.052781,0.002015,0.114657
20260420_202239__d002,real_delivery,1.131364,0.086883,0.004352,0.142336
20260420_202239__d002,real_delivery,1.194217,0.060605,0.001491,0.139726
20260420_202239__d002,real_delivery,1.257071,0.119512,0.001169,0.154157
20260420_202239__d002,real_delivery,1.319925,0.073904,0.002901,0.188436
20260420_202239__d002,real_delivery,1.382778,0.113140,0.003264,0.203211
20260420_202239__d002,real_delivery,1.445632,0.078122,0.001773,0.271917
20260420_202239__d002,real_delivery,1.508485,0.115074,0.000645,0.176566
20260420_202239__d002,real_delivery,1.571339,0.057395,0.002015,0.123030
20260420_202239__d002,real_delivery,1.634192,0.132143,0.000604,0.191883
20260420_202239__d002,real_delivery,1.697046,0.066960,0.000927,0.093578
20260420_202239__d002,real_delivery,1.759899,0.132939,0.001330,0.182920
20260420_202239__d002,real_delivery,1.822753,0.054598,0.000524,0.087470
20260420_202239__d002,real_delivery,1.885607,0.105826,0.001531,0.141401
20260420_202239__d002,real_delivery,1.948460,0.070265,0.000645,0.140219
20260420_202239__d002,real_delivery,2.011314,0.121459,0.001692,0.165879
20260420_202239__d002,real_delivery,2.074167,0.109746,0.002297,0.155536
20260420_202239__d002,real_delivery,2.137021,0.046151,0.001169,0.039894
20260420_202239__d002,real_delivery,2.199874,0.071555,0.001491,0.183609
20260420_202239__d002,real_delivery,2.262728,0.067792,0.010679,0.972715
20260420_202239__d002,real_delivery,2.325581,0.201196,0.031190,3.581560
20260420_202239__d002,real_delivery,2.388435,0.349993,0.055569,5.583235
20260420_202239__d002,real_delivery,2.451288,0.514717,0.067456,4.626133
20260420_202239__d002,real_delivery,2.514142,0.773830,0.078981,5.418538
20260420_202239__d002,real_delivery,2.576996,1.975707,0.154376,10.937007
20260420_202239__d002,real_delivery,2.639849,1.808322,0.143375,7.738377
20260420_202239__d002,real_delivery,2.702703,3.557645,0.346873,17.477541
20260420_202239__d002,real_delivery,2.765556,2.409274,0.246857,12.864165
20260420_202239__d002,real_delivery,2.828410,4.959102,0.423154,27.703999
20260420_202239__d002,real_delivery,2.891263,3.091253,0.212282,24.233846
